dandiset_id,asset_id,asset_path,session_id,mouse_id,date,total_unit_count,qc_unit_count,probe_count,probe_names
001637,cc3b7c7b-d489-460c-b575-40b9edf59e2c,sub-830848/sub-830848_ses-ecephys-830848-2026-03-03-14-02-09_ecephys.nwb,830848_2026-03-03_14-02-09,830848,2026-03-03,3378,1714,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,228c2c2e-1daf-4bf6-9f66-eb6b2bce5ba5,sub-830848/sub-830848_ses-ecephys-830848-2026-03-04-15-34-54_ecephys.nwb,830848_2026-03-04_15-34-54,830848,2026-03-04,3117,1604,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,c53ec231-46f7-42d6-b89a-19e260b8eaa9,sub-830848/sub-830848_ses-ecephys-830848-2026-03-05-16-07-50_ecephys.nwb,830848_2026-03-05_16-07-50,830848,2026-03-05,2570,1478,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,fe5b6b44-12a6-4f59-a91f-953850564fb0,sub-830849/sub-830849_ses-ecephys-830849-2026-03-04-10-14-36_ecephys.nwb,830849_2026-03-04_10-14-36,830849,2026-03-04,2383,1304,5,ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,cdf63e04-05d0-457a-af66-2de1014eb1d4,sub-830849/sub-830849_ses-ecephys-830849-2026-03-05-10-41-20_ecephys.nwb,830849_2026-03-05_10-41-20,830849,2026-03-05,2321,1162,5,ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,ce62d153-644b-4da9-b5a7-823353bb7ccb,sub-830849/sub-830849_ses-ecephys-830849-2026-03-06-10-51-58_ecephys.nwb,830849_2026-03-06_10-51-58,830849,2026-03-06,2902,1681,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,ab8ec755-2b87-45c3-a29d-dd88955334b8,sub-830849/sub-830849_ses-ecephys-830849-2026-03-07-09-48-16_ecephys.nwb,830849_2026-03-07_09-48-16,830849,2026-03-07,2287,1174,5,ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,fc14f27c-4b7d-4332-8562-a4c824f757f3,sub-830851/sub-830851_ses-ecephys-830851-2026-03-16-10-18-07_ecephys.nwb,830851_2026-03-16_10-18-07,830851,2026-03-16,3598,1661,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,9b9e8abe-7b43-47f1-b8e1-4114f87898a1,sub-830851/sub-830851_ses-ecephys-830851-2026-03-17-10-46-04_ecephys.nwb,830851_2026-03-17_10-46-04,830851,2026-03-17,3122,1554,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,24822bc8-01d9-473f-9eef-615fa01119d9,sub-830851/sub-830851_ses-ecephys-830851-2026-03-18-10-24-59_ecephys.nwb,830851_2026-03-18_10-24-59,830851,2026-03-18,3182,1680,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,0167df0a-b5f1-45bd-9659-c32ac132d875,sub-830851/sub-830851_ses-ecephys-830851-2026-03-19-10-49-11_ecephys.nwb,830851_2026-03-19_10-49-11,830851,2026-03-19,2839,1327,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,e15084a4-6372-4a2a-90a7-64ef0e4450b0,sub-830852/sub-830852_ses-ecephys-830852-2026-02-23-10-31-02_ecephys.nwb,830852_2026-02-23_10-31-02,830852,2026-02-23,3622,1775,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
